Date:,25-Sep-14,ACTUAL,,Date:,25-Sep-14,ACTUAL,,,,,,,,
program,20,15:25:00,,expenditures research,55,16:20:00,,,,,,,,
work,25,15:45:00,,leave,,17:15:00,,,,,,,,
subanalytics,20,16:10:00,,,,,,,,,,,,
r research,10,16:30:00,,,,,,,,,,,,
expenditures research,60,16:40:00,,,,,,,,,,,,
leave,,17:40:00,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date:,26-Aug-14,ACTUAL,,Date:,26-Aug-14,PLAN,,,,,,,,
wake up get ready,40,7:10:00,,wake up get ready,40,7:10:00,,,,,,,,
drive to work,15,7:50:00,,drive to work,15,7:50:00,,,,,,,,
churn,10,8:05:00,,churn,10,8:05:00,,,,,,,,
work,30,8:15:00,,work,30,8:15:00,,,,,,,,
eat,10,8:45:00,,eat,10,8:45:00,,,,,,,,
plan,10,8:55:00,,plan,10,8:55:00,,,,,,,,
program,35,9:05:00,,program,45,9:05:00,,,,,,,,
work,5,9:40:00,,parenting research,20,9:50:00,,,,,,,,
program,40,9:45:00,,work,25,10:10:00,,,,,,,,
walk,25,10:25:00,,walk,15,10:35:00,,,,,,,,
program calls,10,10:50:00,,program,20,10:50:00,,,,,,,,
work,15,11:00:00,,work,35,11:10:00,,,,,,,,
